,Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
0,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,CẢ NƯỚC,,,,,17.8,,16.0,15,16,15.8,15.5,15.4,15.3,14.9,14.7,14.5,14.4,14.2,14,13.9,13.65,,,12.09
1,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đồng bằng sông Hồng,,,,,11.5,,10.0,11,12.4,12.3,12.5,12.3,12.2,11.8,11.7,11.5,11.3,11.2,11,10.96,10.25,,,9.27
2,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Nội,,,,,7.9,,7.5,7,10.7,10.4,10.8,10.5,10.5,10.2,10.2,10,9.8,9.8,9.6,9.1,9.22,,,8.48
3,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Tây,,,,,20.6,,13.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..
4,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Vĩnh Phúc,,,,,15.0,,14.8,12,12.9,12.6,13.1,13.7,13.6,13.1,12.9,12.7,12.5,12.4,12.2,12.95,12.1,,,11.02
5,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Ninh,,,,,16.8,,14.8,15,13.2,12.9,13.4,13.7,13.5,13.1,12.8,12.6,12.4,12.3,12.2,12.83,12.33,,,11.16
6,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Ninh,,,,,17.6,,17.3,18,16.1,15.8,16.4,16,15.9,15.3,15.1,14.8,14.6,14.5,14.3,14.4,14.25,,,13.19
7,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hải Dương,,,,,11.4,,12.0,12,12.9,12.2,12.7,12.3,12.3,11.9,11.7,11.5,11.3,11.3,11.1,10.99,10.97,,,10.75
8,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hải Phòng,,,,,12.1,,9.5,11,11.8,11.5,12.3,12.7,12.6,12.2,12,11.8,11.6,11.5,11.4,11.66,11.35,,,11.26
9,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hưng Yên,,,,,15.4,,13.0,15,13.2,12.9,13.4,13,12.9,12.4,12.2,12,11.8,11.8,11.6,11.3,11.39,,,11.11
10,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thái Bình,,,,,15.4,,15.0,11,11.8,11.5,12.2,11,10.8,10.4,10.3,10.1,9.9,9.9,9.7,10.8,9.74,,,9.99
11,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Nam,,,,,13.0,,13.5,14,15.9,15.7,15,12.6,12.6,12.2,12,11.8,11.6,11.6,11.4,11.29,11.31,,,9.96
12,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Nam Định,,,,,16.0,,13.1,11,13.5,13.2,13.8,13.4,13.2,12.8,12.6,12.3,12.1,12.1,11.9,11.65,11.82,,,11.05
13,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Ninh Bình,,,,,16.8,,14.0,13,15.9,15.4,16,15.1,15.1,14.6,14.3,14.1,13.9,13.8,13.6,12.55,12.36,,,12.12
14,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Trung du và miền núi phía Bắc,,,,,26.4,,23.7,21,24.5,24.3,23,23.5,23.2,22.4,22,21.5,21.4,21.4,20.8,20.07,20.64,,,17.12
15,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Giang,,,,,55.8,,44.5,40,37.5,37.1,35,35.8,35.3,34.2,33.6,33,32.5,32.3,31.8,29.86,28.46,,,20.19
16,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Cao Bằng,,,,,42.4,,40.0,40,28.7,28.2,24.8,25.2,25.1,24.3,23.9,23.5,23.1,23,22.6,22.66,20.14,,,18.07
17,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Kạn,,,,,28.9,,20.4,21,19.9,19.5,18.4,18.7,18.5,17.9,17.6,17.3,17,16.9,16.6,16.68,16.66,,,16.02
18,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Tuyên Quang,,,,,29.0,,37.0,32,19.9,19,18.6,18.9,18.9,18.2,18.6,18.2,18,17.9,17.6,17.49,17.76,,,15.57
19,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lào Cai,,,,,30.7,,25.0,23,32,31.6,29.8,30.3,30.2,29.2,28.8,28.2,27.8,27.7,27.2,26.82,24.55,,,20.7
20,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Yên Bái,,,,,35.0,,32.5,32,28.7,26.5,26.1,29.6,29.4,28.3,26.9,26.4,26.1,25.9,25.5,25.83,25.52,,,21.03
21,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thái Nguyên,,,,,21.3,,21.0,19,14.8,14,13.7,15.3,15.3,15,14.7,14.5,14.2,14.2,13.9,13.75,13.69,,,12.12
22,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lạng Sơn,,,,,34.1,,25.0,22,19.7,16.7,19.2,19.5,19.2,18.6,18.3,18,17.7,17.6,17.3,17.1,17.03,,,15.92
23,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Giang,,,,,27.3,,19.0,18,17.2,16.7,15.7,16,15.8,15.3,15.3,15,14.8,14.7,14.5,14.35,14.44,,,12.66
24,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Phú Thọ,,,,,17.9,,17.0,19,18.8,18.2,17.2,15.8,15.8,15.3,15.1,14.8,14.6,14.5,14.2,14.39,14.15,,,12.82
25,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Điện Biên,,,,,41.0,,37.0,33,39.7,37.3,35.2,35.8,35.5,34.4,33.8,33.2,32.7,32.5,31.9,29.7,29.7,,,25.57
26,Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lai Châu,,,,,44.0,,37.0,33,47.7,46.1,43.5,44.2,44,42.6,41.9,41.1,40.5,40.2,39.6,36.19,31.7,,,25.64
